,keywords,relevance,paper
1057,creative commons attribution,0.0164,Predictive Hybrid Autoscaling for Containerized Applications
1358,august,0.0162,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
119,license,0.0161," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
1558,lebovic fellow,0.0154,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
839,temperature limit,0.0147,Deep learning via message passing algorithms based on belief propagation
1295,era,0.0145,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
696,citation,0.0142,Quantum neural networks force fields generation
679,october,0.0139,Kinematic Optimization of 6DOF Serial Robot Arms by Bio-Inspired Algorithms
697,ffs,0.0126,Quantum neural networks force fields generation
1659,other hand,0.0124,DeepAdversaries: examining the robustness of deep learning models for galaxy morphology classification
616,creative commons attribution license,0.0124,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
198,mcin,0.0122,Carbon Footprint vs Energy Optimization in IoT Network Deployments
819,ease,0.0119,superconducting nanowire-based architecture for neuromorphic computing
1058,experimental results,0.0115,Predictive Hybrid Autoscaling for Containerized Applications
1437,creative commons attribution license,0.0112,Development of an advanced MES for the simulation and optimization of industry 4.0 process
1338,current version,0.0111,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
918,creative commons attribution license,0.0107,Digital Twins for Micro Machining
1638,parsimonious expression,0.0106,Learning torsional eye movements through active efficient coding
617,lsat,0.0105,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
859,transform coefﬁcients,0.0103,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1296,today,0.0089,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
278,creative commons attribution,0.0086,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
719,received,0.0085,A duality connecting neural network and cosmological dynamics
919,abstract,0.0084,Digital Twins for Micro Machining
257,attribution,0.0084,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1199,january,0.0081,Problems and solutions regarding generalized functional safety in cyberspace
597,grey wolf,0.0076,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
759,consecutive sets,0.0074,Convolutional neural networks with radio-frequency spintronic nano-devices
939,abstract,0.0069,Management of tools in digital manufacturing - A case study
698,fraction,0.0067,Quantum neural networks force fields generation
959,cps,0.0066,How to apply the ERP model for Smart Mining?
897,corresponding author,0.006,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
177,key ingredient,0.0059,A biology-informed similarity metric for simulated patches of human cell membrane
199,fresh perspective,0.0057,Carbon Footprint vs Energy Optimization in IoT Network Deployments
898,variance,0.0055,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
1479,associate editor,0.0053,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
217,received,0.0049,Neural network training with highly incomplete medical datasets
1419,greater importance,0.0045,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
879,essential role,0.0045,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
178,expensive models,0.0044,A biology-informed similarity metric for simulated patches of human cell membrane
1377,abstract,0.0039,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
258,australia,0.0033,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
779,received,0.0022,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
259,state key laboratory,0.0022,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1639,received,0.0016,Learning torsional eye movements through active efficient coding
1438,identical shock absorbers,0.0014,Development of an advanced MES for the simulation and optimization of industry 4.0 process
359,current version,0.0006,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
1398,iñigo barandiaran1,-0.0003,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
1619,hector rubio1,-0.0004,Massively scalable wavelength diverse integrated photonic linear neuron
1297,corresponding author,-0.0008,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
899,iii,-0.001,Neural networks for predicting kerf characteristics of CO2 laser-machined FFF PLA/WF plates
999,review,-0.0013,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
19,massive number,-0.0016,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1359,received,-0.0032,"Emulation and modelling of semiconductor optical amplifier-based all-optical photonic integrated
deep neural network with arbitrary depth"
98,essential part,-0.0033, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1378,creative commons attribution license,-0.0037,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
1439,expected ﬂexibility,-0.0043,Development of an advanced MES for the simulation and optimization of industry 4.0 process
218,world,-0.0043,Neural network training with highly incomplete medical datasets
1339,difference,-0.0049,SEM Image Quality Assessment Based on Intuitive Morphology and Deep Semantic Features
179,ca,-0.0061,A biology-informed similarity metric for simulated patches of human cell membrane
279,mr,-0.01,Dynamic Decomposition of Service Function Chain Using a Deep Reinforcement Learning Approach
1298,elemental importance,-0.0108,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
618,high price,-0.0115,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
39,received,-0.0115,Improving parametric neural networks for highenergy physics (and beyond)
1259,recent decades,-0.0118,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
459,end,-0.0134,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1059,revenue loss,-0.0149,Predictive Hybrid Autoscaling for Containerized Applications
619,lowest allowable limit,-0.0162,New control scheme of on-load tap changer for voltage regulation in active distribution systems using Fuzzy logic
1559,other settings,-0.0192,Curiosity in exploring chemical spaces: intrinsic rewards for molecular reinforcement learning
1299,accepted,-0.0204,A note on diagnosis and performance degradation detection in automatic control systems towards functional safety and cyber security
598,creative commons attribution license,-0.0222,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
99,1970s,-0.0224, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
339,graduate student member,-0.0226,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1379,doe,-0.0227,Experimental investigations and finite element analysis of milling of Inconel 718 alloy
699,received,-0.0326,Quantum neural networks force fields generation
219,original content,-0.0367,Neural network training with highly incomplete medical datasets
798,past decade,-0.0383,High-dimensional encryption in optical fibers using spatial modes of light and machine learning
599,many recent studies,-0.039,Parallel Hybrid 2-Opt Flower Pollination Algorithm for Real-Time UAV Trajectory Planning on GPU
1099,compact subset,-0.0403,Goal-oriented adaptive sampling under random field modelling of response probability distributions
1399,most cases,-0.0418,Computer graphics and visual computing use cases for Industry 4.0 and Operator 4.0
319,last decade,-0.0435,Metric learning for kernel ridge regression: assessment of molecular similarity
